GAAEX,Guinness Atkinson Alternative E,
Date,Price,Dividend,Annualized Dividend
01/15/2020,3.380000114440918,0.0,0.0
01/17/2020,3.4000000953674316,0.0,0.0
01/22/2020,3.4100000858306885,0.0,0.0
01/28/2020,3.3499999046325684,0.0,0.0
01/31/2020,3.240000009536743,0.0,0.0
02/03/2020,3.259999990463257,0.0,0.0
02/04/2020,3.359999895095825,0.0,0.0
02/11/2020,3.4600000381469727,0.0,0.0
02/12/2020,3.5199999809265137,0.0,0.0
02/13/2020,3.509999990463257,0.0,0.0
02/14/2020,3.5,0.0,0.0
02/18/2020,3.490000009536743,0.0,0.0
02/19/2020,3.5399999618530273,0.0,0.0
02/20/2020,3.569999933242798,0.0,0.0
02/28/2020,3.2100000381469727,0.0,0.0
03/18/2020,2.3399999141693115,0.0,0.0
03/19/2020,2.3299999237060547,0.0,0.0
03/20/2020,2.3499999046325684,0.0,0.0
03/23/2020,2.2899999618530273,0.0,0.0
03/27/2020,2.5799999237060547,0.0,0.0
04/01/2020,2.490000009536743,0.0,0.0
04/23/2020,2.7899999618530273,0.0,0.0
05/21/2020,3.119999885559082,0.0,0.0
05/28/2020,3.190000057220459,0.0,0.0
06/03/2020,3.4200000762939453,0.0,0.0
06/09/2020,3.4800000190734863,0.0,0.0
06/16/2020,3.430000066757202,0.0,0.0
06/24/2020,3.450000047683716,0.0,0.0
06/30/2020,3.5299999713897705,0.0,0.0
07/01/2020,3.549999952316284,0.0,0.0
