VOO,Vanguard S&P 500 ETF,
Date,Price,Annualized Dividend
06/01/2020,277.19696044921875,5.294
06/02/2020,278.00597035925983,5.294
06/02/2020,279.4759521484375,5.294
06/03/2020,281.3701430713572,5.294
06/03/2020,283.1656799316406,5.294
06/04/2020,282.1594119953938,5.294
06/04/2020,282.4455261230469,5.294
06/05/2020,287.7138137647841,5.294
06/05/2020,289.6672058105469,5.294
06/08/2020,290.4761869477505,5.294
06/08/2020,293.1794128417969,5.294
06/09/2020,290.53539489253285,5.294
06/09/2020,291.0977478027344,5.294
06/10/2020,291.56144825679195,5.294
06/10/2020,289.282470703125,5.294
06/11/2020,282.5145602978916,5.294
06/11/2020,272.6094055175781,5.294
06/12/2020,279.5450100325448,5.294
06/12/2020,275.8946838378906,5.294
06/15/2020,270.2317760807143,5.294
06/15/2020,278.41046142578125,5.294
06/16/2020,286.1550521120057,5.294
06/16/2020,283.8563537597656,5.294
06/17/2020,284.8527748832502,5.294
06/17/2020,282.5540466308594,5.294
06/18/2020,281.14323888445955,5.294
06/18/2020,282.810546875,5.294
06/19/2020,286.1451736724136,5.294
06/19/2020,281.14324951171875,5.294
06/22/2020,280.5315694022878,5.294
06/22/2020,283.0078430175781,5.294
06/23/2020,285.62228262425856,5.294
06/23/2020,284.2904052734375,5.294
06/24/2020,282.2383505348385,5.294
06/24/2020,277.0194091796875,5.294
06/25/2020,276.49652385523035,5.294
06/25/2020,279.94952392578125,5.294
06/26/2020,278.9234441767104,5.294
06/26/2020,273.3887634277344,5.294
06/29/2020,274.591744235172,5.341
06/29/2020,277.37841796875,5.341
06/30/2020,276.97180230316343,5.341
06/30/2020,281.0774230957031,5.341
07/01/2020,282.0096430586262,5.341
07/01/2020,283.0013427734375,5.341
07/02/2020,286.3632088026952,5.341
07/02/2020,284.42938232421875,5.341
07/06/2020,288.25736906241974,5.341
07/06/2020,288.84246826171875,5.341
07/07/2020,287.26568786235015,5.341
07/07/2020,285.8475341796875,5.341
07/08/2020,286.6012066833894,5.341
07/08/2020,287.9697570800781,5.341
07/09/2020,288.60444325375744,5.341
07/09/2020,286.5020446777344,5.341
07/10/2020,286.32353844693324,5.341
07/10/2020,289.3779602050781,5.341
07/13/2020,291.65888661415175,5.341
07/13/2020,286.7598876953125,5.341
07/14/2020,285.4012513110404,5.341
07/14/2020,290.5977478027344,5.341
07/15/2020,293.7315273719945,5.341
07/15/2020,293.1761779785156,5.341
07/16/2020,291.36135332431434,5.341
07/16/2020,292.32330322265625,5.341
07/17/2020,293.2654345395468,5.341
07/17/2020,293.0968322753906,5.341
07/20/2020,292.87865978507824,5.341
07/20/2020,295.53643798828125,5.341
07/21/2020,297.3710468528959,5.341
07/21/2020,296.1512756347656,5.341
07/22/2020,295.74468635863144,5.341
07/22/2020,297.837158203125,5.341
07/23/2020,297.4404713537008,5.341
07/23/2020,294.2769470214844,5.341
07/24/2020,292.4125710040364,5.341
07/24/2020,292.3729248046875,5.341
07/27/2020,293.0274430254611,5.341
07/27/2020,294.50506591796875,5.341
07/28/2020,293.72160091664625,5.341
07/28/2020,292.6803283691406,5.341
07/29/2020,293.5431321557179,5.341
07/29/2020,296.2207336425781,5.341
07/30/2020,293.2852663507906,5.341
07/30/2020,295.1397399902344,5.341
07/31/2020,296.9645015586377,5.341
07/31/2020,297.6091003417969,5.341
08/03/2020,299.1462241535154,5.341
08/03/2020,299.4833984375,5.341
08/04/2020,298.71978303696426,5.341
08/04/2020,300.74285888671875,5.341
08/05/2020,302.08163067116817,5.341
08/05/2020,302.6171569824219,5.341
08/06/2020,302.0518679631937,5.341
08/06/2020,304.650146484375,5.341
08/07/2020,303.68821212628677,5.341
08/07/2020,304.8088073730469,5.341
08/10/2020,305.32449679546687,5.341
08/10/2020,305.7806701660156,5.341
08/11/2020,306.95089193922934,5.341
08/11/2020,303.3113708496094,5.341
08/12/2020,305.69143231616937,5.341
08/12/2020,307.4665832519531,5.341
08/13/2020,306.7327002799055,5.341
08/13/2020,306.94097900390625,5.341
08/14/2020,306.5839513800997,5.341
08/14/2020,306.94097900390625,5.341
08/17/2020,307.86325198142765,5.341
08/17/2020,307.93267822265625,5.341
08/18/2020,308.34916869037903,5.341
08/18/2020,308.5772705078125,5.341
08/19/2020,308.96401693858695,5.341
08/19/2020,307.2682189941406,5.341
08/20/2020,305.5525842900305,5.341
08/20/2020,308.2401123046875,5.341
08/21/2020,307.9029349356881,5.341
08/21/2020,309.34088134765625,5.341
08/24/2020,311.75071024866617,5.341
08/24/2020,312.4845886230469,5.341
08/25/2020,313.06966295025586,5.341
08/25/2020,313.575439453125,5.341
08/26/2020,314.1208775760045,5.341
08/26/2020,316.77862548828125,5.341
08/27/2020,317.5620789801934,5.341
08/27/2020,317.413330078125,5.341
08/28/2020,318.4744476108426,5.341
08/28/2020,319.4760437011719,5.341
08/31/2020,319.3074611600489,5.341
08/31/2020,318.35540771484375,5.341
09/01/2020,319.1388879575324,5.341
09/01/2020,321.3305358886719,5.341
09/02/2020,323.23460546053457,5.341
09/02/2020,326.0113525390625,5.341
09/03/2020,324.2957572402578,5.341
09/03/2020,314.725830078125,5.341
09/04/2020,315.1324051582589,5.341
09/04/2020,312.2069091796875,5.341
09/08/2020,306.78232105879704,5.341
09/08/2020,303.62872314453125,5.341
09/09/2020,307.57566179104373,5.341
09/09/2020,309.6185607910156,5.341
09/10/2020,311.4432525180565,5.341
09/10/2020,304.203857421875,5.341
